⚠ `eslint` configuration in next.config.ts is no longer supported. See more info here: https://nextjs.org/docs/app/api-reference/cli/next#next-lint-options
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'eslint'
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.9.216:3000
- Environments: .env

✓ Starting...
✓ Ready in 858ms
 GET /api/bot/data 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/telegram/stats 200 in 18ms (compile: 15ms, render: 3ms)
 GET /api/telegram/users 200 in 21ms (compile: 18ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 22ms (compile: 18ms, render: 4ms)
 GET /api/jobs/summary?hours=24 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/crm/stats 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/applications 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/profile 200 in 79ms (compile: 77ms, render: 2ms)
 GET /api/automation/rules 200 in 81ms (compile: 80ms, render: 1686µs)
 GET /api/bot/data 200 in 12ms (compile: 10ms, render: 1804µs)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 7ms, render: 1774µs)
 GET /api/telegram/activity?limit=30 200 in 11ms (compile: 9ms, render: 1771µs)
 GET /api/jobs/summary?hours=24 200 in 13ms (compile: 11ms, render: 1716µs)
 GET /api/crm/stats 200 in 15ms (compile: 13ms, render: 1727µs)
 GET /api/applications 200 in 11ms (compile: 10ms, render: 1703µs)
 GET /api/profile 200 in 4ms (compile: 1982µs, render: 2ms)
 GET /api/automation/rules 200 in 6ms (compile: 5ms, render: 1735µs)
 GET /api/telegram/users 200 in 6ms (compile: 4ms, render: 1701µs)
 GET /api/bot/data 200 in 3ms (compile: 1211µs, render: 1632µs)
 GET /api/telegram/stats 200 in 5ms (compile: 3ms, render: 1643µs)
 GET /api/telegram/activity?limit=30 200 in 4ms (compile: 1672µs, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 6ms (compile: 4ms, render: 1863µs)
 GET /api/crm/stats 200 in 5ms (compile: 1496µs, render: 4ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/profile 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/automation/rules 200 in 7ms (compile: 6ms, render: 1717µs)
 GET /api/telegram/activity?limit=30 200 in 9ms (compile: 8ms, render: 1685µs)
 GET /api/telegram/users 200 in 14ms (compile: 10ms, render: 4ms)
 GET /api/jobs/summary?hours=24 200 in 16ms (compile: 14ms, render: 1665µs)
 GET /api/crm/stats 200 in 19ms (compile: 17ms, render: 2ms)
 GET /api/bot/data 200 in 3ms (compile: 1830µs, render: 1607µs)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 1607µs)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 1585µs)
 GET /api/profile 200 in 10ms (compile: 8ms, render: 1670µs)
